title,slug,abstract
Creative Coding with TurtleStitch,fosdem-2024-1861-creative-coding-with-turtlestitch,"<p>Turtlestitch is based on a browser-based educational programming language (Snap!) to generate patterns for embroidery machines. It is easy to use, requiring no prior knowledge in programming, yet powerful in creating nowels patterns for embroidery. It is useful for designers to experiment with generative aesthetics and precision embroidery as well as a tool for innovative workshops combining an introduction to programming with a haptic output.</p>"
MicroBlocks,fosdem-2024-1634-microblocks,"<p><a href=""https://microblocks.fun"">MicroBlocks</a> is a blocks programming language for physical computing inspired by Scratch. MicroBlocks is a non-profit open-source project that makes physical computing fun and easy. Although it's goal is to enable and inspire youth (10+), curious makers of all ages are encouraged to embrace the joys of physical computing. Unlike other programming environments for microcontrollers, MicroBlocks is LIVE. That is, the MicroBlocks IDE (editor running on a computer) and the MicroBlocks code (running on a microcontroller) are constantly kept in sync. The blocks-based editor makes it easy to click any block or script of blocks to execute them immediately. Development and debugging occur at the same time. The project lives up to its tagline ""small, fast, human friendly"". :)</p>"
MicroBlocks Workshop,fosdem-2024-3527-microblocks-workshop,"<p>Anyone aged 7 to 17 can visit the workshop and learn how to program microcontrollers with <a href=""https://microblocks.fun/"">MicroBlocks</a>.</p>
<p>Registration will be required for this session. More details will follow later.</p>"
Snap! workshop,fosdem-2024-3531-snap-workshop,"<p>Anyone aged 7 to 17 can visit the workshop and learn to code with <a href=""https://snap.berkeley.edu/"">Snap!</a>. </p>
<p>Registration will be required for this session. More details will follow later.</p>"
ZIM Workshop,fosdem-2024-3526-zim-workshop,"<p>Anyone aged 7 to 17 can visit the <a href=""https://zimjs.com/"">ZIM</a> workshop. ZIM is a general Canvas Framework with simple, powerful JavaScript that lets everyone, from beginners to professionals, code creativity.</p>
<p>Registration will be required for this session. More details will follow later.</p>"
GDevelop,fosdem-2024-1866-gdevelop,"<p>GDevelop is an open-source, game making app that is free and easy to use. Find 2D and 3D game development tutorials, publish to Android, iOS, and more.</p>"
Hedy,fosdem-2024-1862-hedy,"<p><a href=""https://www.hedycode.com/"">Hedy</a> is a gradual programming language to teach children programming. Gradual languages use different language levels, where each level adds new concepts and syntactic complexity. At the end of the Hedy level sequence, kids master a subset of syntactically valid Python.</p>"
HopsFS FUSE Mount,fosdem-2024-2037-hopsfs-fuse-mount,"<p>Introducing HopFS Mount, a FUSE file system designed to enhance user experience and simplify interactions with distributed file systems, specifically tailored for HopsFS. Leveraging the Filesystem in Userspace (FUSE) framework, our solution establishes a seamless interface, shielding users from the inherent complexities associated with distributed file operations.</p>
<p>HopsFS, a derivative of HDFS, renowned for its scalability and performance, is now easily accessible with the familiarity of a local file system through our FUSE-based innovation. By abstracting the intricacies of distributed file systems, our implementation ensures that users engage with HopsFS in a manner similar to traditional file systems. This abstraction not only reduces the entry barriers for users unfamiliar with distributed systems but also enhances the overall usability and accessibility of HopsFS.</p>"
External Rook Ceph Cluster,fosdem-2024-3418-external-rook-ceph-cluster,"<p>You may have an existing Ceph cluster that you want to integrate with Kubernetes, or wanted centralized ceph management in a single cluster connected to multiple Kubernetes clusters what's the solution? External Rook-Ceph Cluster. An external cluster is a Ceph configuration that is managed outside of the local K8s cluster. In external mode, Rook will provide the configuration for the CSI driver and other basic resources that allow your applications to connect to Ceph in the external cluster. This talk will give a quick overview of the Rook external cluster, which includes its deployment, demo, and how the latest ceph features can be used with this like Multi-site, rados namespace, etc.</p>"
Boosting CephFS Security in Kubernetes: Rook's Intelligent Network Fencing for Uninterrupted Data Flow and Workload Harmony!,fosdem-2024-1959-boosting-cephfs-security-in-kubernetes-rook-s-intelligent-network-fencing-for-uninterrupted-data-flow-and-workload-harmony-,"<p>Ever found yourself lost in the complex world of Kubernetes, wondering what unfolds when a node throws a curveball? Fear not, for Rook's Network Fencing is the unsung hero in this tale of container chaos. Let's take a journey into the heart of this complexity, uncovering the superheroic qualities of Rook's Network Fencing, working tirelessly to prevent any data chaos.</p>
<p>Imagine this: when one node takes an unexpected turn, Rook elegantly guides the pods to a new, stable platform. Here's the twist – CephFS remains undisturbed, a calm leader in the face of potential turbulence and the container using this may happily continue, leading to data corruption!</p>
<p>Join us as we break down the details of this strategic performance. Discover how Rook's Network Fencing becomes the guardian of your data, ensuring a smooth transition from one node to another. It's not just about preventing chaos; it's about preserving the integrity of CephFS, the backbone of your containerized world.</p>
<p>So, get ready for an exploration into the art and science of Network Fencing, where Rook emerges as the quiet force that guarantees your data's safety, keeps your workloads running smoothly, and bids farewell to chaos in the Kubernetes story. </p>
<p>Welcome to the ""revelation of Network Fencing in CephFS with Rook – your data's trustworthy guide in the container wilderness.""</p>"
