id,date,start,duration,room,track,title,slug,url,abstract,slides
3023,2024-02-03,09:30,25,Janson,Keynotes,Welcome to FOSDEM 2024,fosdem-2024-3023-welcome-to-fosdem-2024,https://fosdem.org/2024/schedule/event/fosdem-2024-3023-welcome-to-fosdem-2024/,<p>FOSDEM welcome and opening talk.</p>,https://fosdem.org/2024/events/attachments/fosdem-2024-3023-welcome-to-fosdem-2024/slides/22065/2024-02-03--FOSDEM_Welcome_opening_talk_65aODOh.pdf
2850,2024-02-03,10:00,50,Janson,Keynotes,Where have the women of tech history gone?,fosdem-2024-2850-where-have-the-women-of-tech-history-gone-,https://fosdem.org/2024/schedule/event/fosdem-2024-2850-where-have-the-women-of-tech-history-gone-/,"<p>Ada Lovelace, Hedy Lamarr, the 'ENIAC Girls,' Grace Hopper, Joan Clarke... Stemming from the role of a calculator, the profession of a developer was initially considered a women's job, while hardware design was seen as a man's job. However, who are these women who have shaped the world of tech? Why don't we hear more about them? With Laura Durieux, you'll attempt to set the record straight bit by bit and provide role models in tech that you've always needed.</p>",https://fosdem.org/2024/events/attachments/fosdem-2024-2850-where-have-the-women-of-tech-history-gone-/slides/22066/slides-laura-durieux_9xCguMK.pdf
2522,2024-02-03,11:00,50,Janson,Keynotes,Outreachy: 1000 interns,fosdem-2024-2522-outreachy-1000-interns,https://fosdem.org/2024/schedule/event/fosdem-2024-2522-outreachy-1000-interns/,"<p>This keynote celebrates an important milestone 13 years in the making:  Outreachy surpassed 1000 interns with its current round of internships!  For the first time ever, the full organizing team of Outreachy has gathered together in person here at FOSDEM. This celebratory keynote, will talk about the history of Outreachy, our lessons learned and our hopes for the future.</p>",https://fosdem.org/2024/events/attachments/fosdem-2024-2522-outreachy-1000-interns/slides/22101/keynote-draft-2024-01-30_FZu7hos.pdf
1808,2024-02-03,12:00,50,Janson,Main Track - Janson,How to Chart your own Career Path in Open Source - Panel Discussion,fosdem-2024-1808-how-to-chart-your-own-career-path-in-open-source-panel-discussion,https://fosdem.org/2024/schedule/event/fosdem-2024-1808-how-to-chart-your-own-career-path-in-open-source-panel-discussion/,"<p>There isn’t one way to build your career in open source as there are a variety of roles beyond writing code and many different routes into those roles. It’s also important for individuals to chart their own path that aligns with their unique experience and interest. </p>
<p>In this panel discussion, panelists will share how they got started in their career and their journey over the past two decades. For people looking for jobs in open source, we’ll discuss what we look for in candidates and why it’s not necessary to check all the boxes in job descriptions. We’ll also discuss challenges in balancing your day jobs vs. open source activities during your career. </p>
<p>In addition, we’ll also delve into other challenges and opportunities of an open source career that range from dealing with the impostor syndrome, DEI (Diversity, Equity, and Inclusion) challenges, exploring open source communities for self growth, and more. </p>
<p>The goal of this session is to help attendees feel more comfortable exploring opportunities in open source and be confident in charting their own path. Our panel members will share what contributed to their success and the lessons learned throughout their extensive experience in open source. This session is meant to be interactive, and we’ll encourage attendees to ask questions and engage in the conversation.</p>",
3683,2024-02-03,13:00,50,Janson,Main Track - Janson,The Regulators Are Coming: One Year On,fosdem-2024-3683-the-regulators-are-coming-one-year-on,https://fosdem.org/2024/schedule/event/fosdem-2024-3683-the-regulators-are-coming-one-year-on/,"<p>At FOSDEM 2023 we heard directly from the authors of The Cyber Resilience Act (CRA) and the Product Liability Directive (PLD) about the care they were taking to avoid harm to free and open source software developers. During the year, these legislators received a great deal of help from experts across the communities to make that (even more) true! Now both instruments are in their final state, we can learn lessons how to engage over the next wave.</p>
<p>In this session we will hear an update from the authors of the legislation on how they see the last year with CRA and PLD, and insights from the open source community members who engaged to change it. We will explore how easy it is to engage with legislators over policy that will affect open source projects, and hopefully have an opportunity for audience feedback. If this session leaves you with questions, or you want to contribute yourself, come to the unique ""policy hackfest"" Devroom on Sunday, ""Open Source In The European Legislative Landscape"".</p>",https://fosdem.org/2024/events/attachments/fosdem-2024-3683-the-regulators-are-coming-one-year-on/slides/22201/Slides_CRA_FOSDEM_v3_ukPnQUG.pdf
3163,2024-02-03,14:00,25,Janson,Main Track - Janson,Copyleft and the GPL: Finding the Path Forward to Defend our Software Right to Repair,fosdem-2024-3163-copyleft-and-the-gpl-finding-the-path-forward-to-defend-our-software-right-to-repair,https://fosdem.org/2024/schedule/event/fosdem-2024-3163-copyleft-and-the-gpl-finding-the-path-forward-to-defend-our-software-right-to-repair/,"<p>Since 1987, Copyleft licensing has been the primary strategy of the FOSS community to guarantee users' rights to copy, share, modify, redistribute, and reinstall modified versions of their software.   In our earliest days, we naïvely thought that the GPL would work like magic pixie dust; we'd sprinkle it on our code, and our code would remain free as in freedom.</p>
<p>The reality check that we've received over the last 35 years has been painful on this issue.  While this talk will cover the few huge successes in copyleft enforcement that have lead to real improvements to the rights and freedoms of users, we'll also face frankly the compromises made and false paths taken in the earliest days, that have now led to a simple but unfortunate fact: almost every Linux-based device for sale on the market today does <em>not</em> comply with Linux's license (the GPLv2).</p>
<p>This talk will not only discuss the primary past GPL enforcement efforts around the world, but also provide a whirlwind tour of how copyleft came to work in practice, how we wished it had worked, and discuss ideas, suggestions, and plans for the future strategies in copyleft that, informed by this history, are our best hope for software freedom and rights.</p>
<p>Have ever wondered how FOSS was <em>actually</em> was supposed <em>stay</em> FOSS for the long term?  Have you ever been unsure or confused why — in a world where Linux is on nearly every device —  most people cannot actually run an alternative OS build on their device?  This talk will leave you informed on these questions and prepared to participate in the next policy steps our community must take to bring back software freedom and rights to the next generation of FOSS users, activists and developers.</p>",
3209,2024-02-03,14:30,25,Janson,Main Track - Janson,How open source projects approach Functional Safety,fosdem-2024-3209-how-open-source-projects-approach-functional-safety,https://fosdem.org/2024/schedule/event/fosdem-2024-3209-how-open-source-projects-approach-functional-safety/,"<p>Open Source is a winning solution for many industries already - and now even safety critical applications want to make use of it. While “security” is a capability of open source since many years, a few years ago using open source in safety critical applications seemed to be impossible even to think about. Nowadays it has become a valid option for upcoming applications. This kind of application that should save lives, or at least not harm anyone. 
However, with advancements in technology and safety integrity standards, open source is becoming a valid option for upcoming safety critical applications. This talk will provide an overview of how open source projects approach their integration to safety critical applications. Depending on the expectations of these applications, there are different solutions to address their needs. 
The talk will introduce example projects such as ELISA, the Zephyr Project, and the Xen Project, which are currently addressing these expectations with various mechanisms and approaches.</p>",https://fosdem.org/2024/events/attachments/fosdem-2024-3209-how-open-source-projects-approach-functional-safety/slides/22267/20240203_Presentation_FOSDEM_OSS_SAFETY_Egg635h.pdf
3648,2024-02-03,15:00,50,Janson,Main Track - Janson,Privacy-respecting usage metrics for free software projects,fosdem-2024-3648-privacy-respecting-usage-metrics-for-free-software-projects,https://fosdem.org/2024/schedule/event/fosdem-2024-3648-privacy-respecting-usage-metrics-for-free-software-projects/,"<p>Free software users and authors tend to be highly aware of the risks of large-scale collection of personal data, and often consider software telemetry to be incompatible with user privacy. But it is possible to collect anonymous data about how software is used in a way that respects its users and protects them from harm – and by doing so, the software's authors can make better-informed decisions about how to improve it.</p>
<p>In this presentation, I will make a case for why free software projects should want to collect data on how the software is used, and how this can be done in a privacy-respecting fashion. I will describe the anonymous metrics system in Endless OS, a desktop Linux distribution: our goals for the system, its design and implementation, the types of usage data we collect, and what we have learned from that data, as well as some shortcomings of both the system itself and the data we have.</p>
<p>I hope to encourage other free software projects, on the desktop or otherwise, to consider adopting similar techniques to better understand how their software is used.</p>",
2871,2024-02-03,16:00,50,Janson,Main Track - Janson,Ingesting and analyzing millions of events per second in real-time using open source tools,fosdem-2024-2871-ingesting-and-analyzing-millions-of-events-per-second-in-real-time-using-open-source-tools,https://fosdem.org/2024/schedule/event/fosdem-2024-2871-ingesting-and-analyzing-millions-of-events-per-second-in-real-time-using-open-source-tools/,"<p>Teams of all shapes and sizes benefit from near <strong>real-time analytics</strong>. In this session, I will present a project template that can serve as the foundation to build one such <strong>high performing system</strong>, powered by <em><a href=""https://github.com/apache/kafka"">Apache Kafka</a>, <a href=""https://github.com/questdb/questdb"">QuestDB</a>, <a href=""https://github.com/grafana/grafana"">Grafana OSS</a>, and <a href=""https://github.com/jupyter/notebook"">Jupyter Notebook</a></em>.</p>
<p>The first step of a data pipeline is <strong>ingestion</strong>, and even though we could directly ingest into a fast database, I will use <strong>Apache Kafka</strong> to ingest data. We will see how to use <strong>Python, JavaScript, and Go</strong> to send messages into Kafka.</p>
<p>Now, we need an analytics database, and for real-time data, a <strong>time-series database</strong> seems like a good match. I will demonstrate how to use <strong>QuestDB</strong>, an Apache 2.0 licensed project, to ingest and query data in <strong>milliseconds or faster</strong>.</p>
<p>Data analytics often require a <strong>graphical dashboard</strong>. For this purpose, I will use <strong>Grafana OSS</strong>, where we will create a couple of real-time charts updating <strong>several times per second</strong>.</p>
<p>And, of course, it's 2024, so you might want to delve into some <strong>data science</strong>. No worries. I will demonstrate how <strong>Jupyter Notebook</strong> can be used to read from your database and perform <strong>interactive data exploration</strong> and time-series <strong>forecasting</strong>.</p>
<p>This will be a <strong>demo-driven</strong> presentation and I will share all the code I use so you can use it as a starting point.</p>",https://fosdem.org/2024/events/attachments/fosdem-2024-2871-ingesting-and-analyzing-millions-of-events-per-second-in-real-time-using-open-source-tools/slides/22352/FOSDEM2024Ingestingandanalyzingmillionsofevents_g93Ma5i.pdf
2675,2024-02-03,17:00,50,Janson,Main Track - Janson,Will the first Artificial General Intelligence (AGI) instance be free or open-source software?,fosdem-2024-2675-will-the-first-artificial-general-intelligence-agi-instance-be-free-or-open-source-software-,https://fosdem.org/2024/schedule/event/fosdem-2024-2675-will-the-first-artificial-general-intelligence-agi-instance-be-free-or-open-source-software-/,"<p>Over the past decade, the field of AI has grown spectacularly, with many ground-breaking milestones being reported, such as a reinforcement learning agent that learnt to play ATARI games, AlphaGo that beat the best Go player in the world, reinforcement learning agents that learn to mitigate epidemics, deep learning models that predict protein structures and large language models that demonstrate interesting capabilities.
While research in AI has traditionally been driven by academia, in the recent years, research companies, such as Deepmind and OpenAI, have been involved in significant breakthroughs. While in academia, there is a culture of keeping the reproducibility of scientific methods in high regard, which often goes hand in hand with making algorithms available as free or open-source software, this is not always the case in research companies.
In this talk, we explore the free and open-source software ecosystem in the AI research community and contrast this with closed source applications, of which we discuss the ethical implications from the perspective of the scientific community. As research companies such as Deepmind and OpenAI explicitly state that their mission is to develop Artificial General Intelligence (AGI), we look ahead whether the first AGI instance will be free or open-source software and discuss what the implications might be for the scientific community and society in general.</p>",
